Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x8634b7e0 System                    4      0     94      344 ------      0 2017-04-19 01:20:04 UTC+0000                                 
0x87838a08 smss.exe                268      4      4       29 ------      0 2017-04-19 01:20:04 UTC+0000                                 
0x87e9a288 csrss.exe               348    340      9      568      0      0 2017-04-19 01:20:11 UTC+0000                                 
0x881f8030 wininit.exe             404    340      8       91      0      0 2017-04-19 01:20:14 UTC+0000                                 
0x87e75b90 csrss.exe               412    396     10      201      1      0 2017-04-19 01:20:14 UTC+0000                                 
0x8823bd40 winlogon.exe            448    396      6      122      1      0 2017-04-19 01:20:14 UTC+0000                                 
0x8859d530 services.exe            516    404     36      293      0      0 2017-04-19 01:20:15 UTC+0000                                 
0x885b2530 lsass.exe               532    404     14      605      0      0 2017-04-19 01:20:15 UTC+0000                                 
0x885c3530 lsm.exe                 544    404     12      152      0      0 2017-04-19 01:20:15 UTC+0000                                 
0x88300848 svchost.exe             644    516     16      364      0      0 2017-04-19 01:20:18 UTC+0000                                 
0x883097f8 vmacthlp.exe            708    516      5       55      0      0 2017-04-19 01:20:18 UTC+0000                                 
0x88323bd0 svchost.exe             740    516      9      274      0      0 2017-04-19 01:20:18 UTC+0000                                 
0x88350d40 svchost.exe             788    516     24      409      0      0 2017-04-19 01:20:18 UTC+0000                                 
0x8837bd40 svchost.exe             912    516     24      437      0      0 2017-04-19 01:20:19 UTC+0000                                 
0x88330428 svchost.exe             944    516     52      923      0      0 2017-04-19 01:20:19 UTC+0000                                 
0x8839dd40 audiodg.exe            1012    788      6      126      0      0 2017-04-19 01:20:19 UTC+0000                                 
0x88373d40 svchost.exe            1084    516     16      552      0      0 2017-04-19 01:20:19 UTC+0000                                 
0x883c37a8 svchost.exe            1168    516     21      368      0      0 2017-04-19 01:20:19 UTC+0000                                 
0x88580148 spoolsv.exe            1264    516     15      342      0      0 2017-04-19 01:20:20 UTC+0000                                 
0x885b0030 svchost.exe            1300    516     26      332      0      0 2017-04-19 01:20:20 UTC+0000                                 
0x885749d8 VGAuthService.         1460    516      4       85      0      0 2017-04-19 01:20:20 UTC+0000                                 
0x885c6a58 vmtoolsd.exe           1508    516      9      289      0      0 2017-04-19 01:20:21 UTC+0000                                 
0x8789d030 taskhost.exe           1652    516     11      175      1      0 2017-04-19 01:20:22 UTC+0000                                 
0x884dcd40 dwm.exe                1728    912      7      105      1      0 2017-04-19 01:20:23 UTC+0000                                 
0x884d2928 explorer.exe           1740   1720     33      686      1      0 2017-04-19 01:20:23 UTC+0000                                 
0x888eb540 svchost.exe             292    516      6       91      0      0 2017-04-19 01:20:24 UTC+0000                                 
0x888f9708 svchost.exe             592    516      6      105      0      0 2017-04-19 01:20:24 UTC+0000                                 
0x88972030 dllhost.exe            1792    516     20      200      0      0 2017-04-19 01:20:34 UTC+0000                                 
0x88993030 WmiPrvSE.exe           1764    644     10      186      0      0 2017-04-19 01:20:34 UTC+0000                                 
0x88989d40 dllhost.exe            2072    516     18      208      0      0 2017-04-19 01:20:35 UTC+0000                                 
0x889db708 vmtoolsd.exe           2160   1740      7      276      1      0 2017-04-19 01:20:35 UTC+0000                                 
0x889dc190 jusched.exe            2172   1740      1       41      1      0 2017-04-19 01:20:35 UTC+0000                                 
0x889e3d40 msdtc.exe              2208    516     15      154      0      0 2017-04-19 01:20:36 UTC+0000                                 
0x88a3ed40 VSSVC.exe              2344    516      6      117      0      0 2017-04-19 01:20:37 UTC+0000                                 
0x87e3f1e0 SearchIndexer.         2604    516     14      633      0      0 2017-04-19 01:20:42 UTC+0000                                 
0x885f9d40 SearchProtocol         2708   2604      7      260      1      0 2017-04-19 01:20:43 UTC+0000                                 
0x8861f598 SearchFilterHo         2728   2604      5       83      0      0 2017-04-19 01:20:43 UTC+0000                                 
0x8898f030 WmiPrvSE.exe           2776    644     13      300      0      0 2017-04-19 01:20:46 UTC+0000                                 
0x871fb030 WmiApSrv.exe           2828    516      7      116      0      0 2017-04-19 01:20:48 UTC+0000                                 
0x87eac350 taskhost.exe           2956    516      1        0      0      0 2017-05-13 08:11:14 UTC+0000                                 
0x88206b50 rundll32.exe           2976    516      1        0      0      0 2017-05-13 08:11:14 UTC+0000                                 
0x87e79c00 wsqmcons.exe           2984    516      1        0      0      0 2017-05-13 08:11:14 UTC+0000                                 
